Date,Open,High,Low,Close,Adj Close,Volume
2013-12-12,49.380001,50.77,48.34,49.009998,49.009998,65776000
2013-12-13,51.830002,52.07,47.94,50.66,50.66,92723000
2013-12-16,53.32,53.5,48.84,51.34,51.34,82641000
2013-12-17,53.810001,54.5,50.25,52.91,52.91,85119000
2013-12-18,54.860001,55.18,49.38,54.240002,54.240002,78751000
2013-12-19,55.57,55.889999,51.83,53.75,53.75,76003000
2013-12-20,55.049999,55.189999,53.32,53.950001,53.950001,89753200
2013-12-23,55.119999,55.150002,53.81,54.23,54.23,239824000
2013-12-24,57.77,58.32,54.86,55.450001,55.450001,98297000
2013-12-26,57.959999,58.580002,55.57,56.91,56.91,46617800
2013-12-27,57.73,58.380001,55.05,57.369999,57.369999,55101000
2013-12-30,55.439999,57.68,55.12,55.25,55.25,60466000
2013-12-31,53.709999,55.18,57.77,53.43,53.43,68307000
2014-01-02,54.650002,54.860001,57.96,53.91,53.91,43076200
2014-01-03,54.709999,55.220001,57.73,54.189999,54.189999,43195500
2014-01-06,54.560001,55.650002,55.44,54.529999,54.529999,38246200
2014-01-07,57.200001,57.259998,53.71,54.049999,54.049999,68852600
2014-01-08,57.919998,58.549999,54.65,57.220001,57.220001,77207400
2014-01-09,58.23,58.41,54.71,57.23,57.23,56682400
2014-01-10,57.220001,58.959999,54.56,56.650002,56.650002,92253300
2014-01-13,57.939999,58.299999,57.2,57.060001,57.060001,42449500
2014-01-14,55.91,58.25,57.92,55.380001,55.380001,63010900
2014-01-15,57.740002,57.779999,58.23,56.099998,56.099998,37503600
2014-01-16,57.599998,58.57,57.22,57.27,57.27,33663400
2014-01-17,57.189999,58.02,57.94,56.830002,56.830002,34541800
2014-01-21,56.299999,57.82,55.91,56.07,56.07,40849200
2014-01-22,58.509998,58.580002,57.74,56.5,56.5,48669200
2014-01-23,57.509998,59.310001,57.6,57.099998,57.099998,61352900
2014-01-24,56.630001,56.68,57.19,55.689999,55.689999,47951800
2014-01-27,54.450001,56.419998,56.3,54.400002,54.400002,55200700
2014-01-28,53.549999,54.939999,58.51,51.849998,51.849998,73924100
2014-01-29,55.139999,55.279999,57.51,54.0,54.0,48191200
2014-01-30,53.529999,54.950001,56.63,53.189999,53.189999,92995600
2014-01-31,61.080002,62.5,54.45,60.459999,60.459999,150178900
2014-02-03,62.57,63.369999,53.55,60.169998,60.169998,87794600
2014-02-04,61.48,63.77,55.14,60.700001,60.700001,74866600
2014-02-05,62.75,63.139999,53.53,61.82,61.82,45985500
2014-02-06,62.189999,63.16,61.08,61.27,61.27,51685100
2014-02-07,62.16,62.779999,62.57,61.459999,61.459999,42086500
2014-02-10,64.32,64.57,61.48,62.220001,62.220001,60704300
2014-02-11,63.549999,64.489998,62.75,63.470001,63.470001,43666100
2014-02-12,64.849998,65.0,62.19,63.349998,63.349998,45675600
2014-02-13,64.449997,65.059998,62.16,64.050003,64.050003,47282100
2014-02-14,67.330002,67.330002,64.32,64.050003,64.050003,61911700
2014-02-18,67.089996,67.580002,63.55,66.720001,66.720001,36694900
2014-02-19,67.300003,67.540001,64.85,66.07,66.07,43809900
2014-02-20,68.059998,69.080002,64.45,67.0,67.0,62087100
2014-02-21,69.629997,70.110001,67.33,65.730003,65.730003,130928900
2014-02-24,68.589996,69.959999,67.09,68.449997,68.449997,70932400
2014-02-25,70.779999,71.440002,67.3,68.540001,68.540001,76620300
2014-02-26,69.849998,71.0,68.06,69.449997,69.449997,52077000
2014-02-27,69.260002,71.220001,69.63,68.849998,68.849998,55322700
